quality_test_id,row_index,expected_invalid,defect_type
quality_eval_0000,0,True,malformed_timestamp
quality_eval_0001,1,False,none
quality_eval_0002,2,False,none
quality_eval_0003,3,True,harvest_before_sowing
quality_eval_0004,4,False,none
quality_eval_0005,5,True,invalid_soil_ph
quality_eval_0006,6,True,malformed_timestamp
quality_eval_0007,7,False,none
quality_eval_0008,8,True,invalid_soil_ph
quality_eval_0009,9,False,none
quality_eval_0010,10,True,negative_rainfall
quality_eval_0011,11,False,none
quality_eval_0012,12,False,none
quality_eval_0013,13,False,none
quality_eval_0014,14,False,none
quality_eval_0015,15,False,none
quality_eval_0016,16,True,negative_rainfall
quality_eval_0017,17,False,none
quality_eval_0018,18,True,missing_sensor_id
quality_eval_0019,19,True,invalid_ndvi
quality_eval_0020,20,False,none
quality_eval_0021,21,False,none
quality_eval_0022,22,True,invalid_ndvi
quality_eval_0023,23,False,none
quality_eval_0024,24,False,none
quality_eval_0025,25,False,none
quality_eval_0026,26,True,malformed_timestamp
quality_eval_0027,27,False,none
quality_eval_0028,28,False,none
quality_eval_0029,29,False,none
quality_eval_0030,30,True,missing_sensor_id
quality_eval_0031,31,False,none
quality_eval_0032,32,False,none
quality_eval_0033,33,False,none
quality_eval_0034,34,False,none
quality_eval_0035,35,True,harvest_before_sowing
quality_eval_0036,36,False,none
quality_eval_0037,37,True,invalid_humidity
quality_eval_0038,38,False,none
quality_eval_0039,39,False,none
quality_eval_0040,40,False,none
quality_eval_0041,41,False,none
quality_eval_0042,42,True,negative_rainfall
quality_eval_0043,43,False,none
quality_eval_0044,44,True,missing_sensor_id
quality_eval_0045,45,True,invalid_humidity
quality_eval_0046,46,False,none
quality_eval_0047,47,True,negative_rainfall
quality_eval_0048,48,False,none
quality_eval_0049,49,False,none
quality_eval_0050,50,False,none
quality_eval_0051,51,False,none
quality_eval_0052,52,True,invalid_soil_ph
quality_eval_0053,53,False,none
quality_eval_0054,54,False,none
quality_eval_0055,55,True,invalid_ndvi
quality_eval_0056,56,False,none
quality_eval_0057,57,False,none
quality_eval_0058,58,False,none
quality_eval_0059,59,False,none
quality_eval_0060,60,False,none
quality_eval_0061,61,False,none
quality_eval_0062,62,False,none
quality_eval_0063,63,False,none
